Year,Language,Gender,Units,Value
2015,Catalan,,Percentage,77.0
2016,Catalan,,Percentage,76.0
2017,Catalan,,Percentage,75.0
2018,Catalan,,Percentage,77.0
2019,Catalan,,Percentage,77.0
2020,Catalan,,Percentage,77.0
2021,Catalan,,Percentage,75.3
2022,Catalan,,Percentage,74.4
2015,Catalan,Men,Percentage,77.1
2016,Catalan,Men,Percentage,75.4
2017,Catalan,Men,Percentage,76.5
2018,Catalan,Men,Percentage,78.1
2019,Catalan,Men,Percentage,77.7
2020,Catalan,Men,Percentage,78.6
2021,Catalan,Men,Percentage,76.7
2022,Catalan,Men,Percentage,74.2
2015,Catalan,Women,Percentage,76.3
2016,Catalan,Women,Percentage,76.2
2017,Catalan,Women,Percentage,73.8
2018,Catalan,Women,Percentage,76.9
2019,Catalan,Women,Percentage,76.7
2020,Catalan,Women,Percentage,75.3
2021,Catalan,Women,Percentage,74.1
2022,Catalan,Women,Percentage,74.5
2015,Spanish,,Percentage,100.0
2016,Spanish,,Percentage,100.0
2017,Spanish,,Percentage,100.0
2018,Spanish,,Percentage,100.0
2019,Spanish,,Percentage,100.0
2020,Spanish,,Percentage,100.0
2021,Spanish,,Percentage,99.9
2022,Spanish,,Percentage,100.0
2015,Spanish,Men,Percentage,100.0
2016,Spanish,Men,Percentage,100.0
2017,Spanish,Men,Percentage,100.0
2018,Spanish,Men,Percentage,100.0
2019,Spanish,Men,Percentage,100.0
2020,Spanish,Men,Percentage,100.0
2021,Spanish,Men,Percentage,99.9
2022,Spanish,Men,Percentage,100.0
2015,Spanish,Women,Percentage,100.0
2016,Spanish,Women,Percentage,100.0
2017,Spanish,Women,Percentage,100.0
2018,Spanish,Women,Percentage,100.0
2019,Spanish,Women,Percentage,100.0
2020,Spanish,Women,Percentage,100.0
2021,Spanish,Women,Percentage,99.9
2022,Spanish,Women,Percentage,100.0
2015,English,,Percentage,44.0
2016,English,,Percentage,46.0
2017,English,,Percentage,48.0
2018,English,,Percentage,51.0
2019,English,,Percentage,51.0
2020,English,,Percentage,57.0
2021,English,,Percentage,56.6
2022,English,,Percentage,56.2
2015,English,Men,Percentage,48.6
2016,English,Men,Percentage,50.9
2017,English,Men,Percentage,53.9
2018,English,Men,Percentage,56.9
2019,English,Men,Percentage,56.9
2020,English,Men,Percentage,63.0
2021,English,Men,Percentage,62.5
2022,English,Men,Percentage,60.9
2015,English,Women,Percentage,40.0
2016,English,Women,Percentage,41.6
2017,English,Women,Percentage,42.0
2018,English,Women,Percentage,46.4
2019,English,Women,Percentage,46.6
2020,English,Women,Percentage,51.5
2021,English,Women,Percentage,51.5
2022,English,Women,Percentage,52.0
