Year,Units,Value
2015,Percentage,11.8
2016,Percentage,8.1
2017,Percentage,12.2
2018,Percentage,12.5
2019,Percentage,15.4
2020,Percentage,17.5
2021,Percentage,15.7
2022,Percentage,15.7
2023,Percentage,15.2
